sentence	sentiment
比准确多了	neutral
有没有遇到相同问题	neutral
与其它的机子比起来	neutral
高感还是不错的	positive
暗部对焦提升明显	positive
感觉机身的自动白平衡有点问题但驱动有点慢	positive
另外要说一点	neutral
还没看说明书	neutral
个子还没米	neutral
这个声音还是会被视频播捉到	neutral
入手两个多月	neutral
测试了一下	neutral
手感操控性能画质已然全面落后明显敌不过	positive
而远角端只有塑料前脸仍然没有升级成合金材料	negative
充电感觉不是很方便高速卡帮助不大	positive
机内软件可能有问题而且定价太高了	positive
但便携机在图像质量上总是稍欠缺一点还有不能换镜头局限了拍摄题材感受在对焦的时候有些犹豫	negative
就觉得的快门声格外的好听	positive
肩屏小了些它相机里电池自行放电由来已久	positive
电池续航能力一般对焦速度还稍微跟不上	negative
先用借只手指来对完再拍不就了嘛	neutral
据说是小五那块的改进版	neutral
最高完全可用	neutral
对焦的速度上并不是很突出存取慢	negative
操作够复杂的比如确实有一定的进灰问题	positive
如果能忍受它缓慢的存储速度的话炒冷饭	negative
其余的对焦点小五就成打酱油的	positive
就说下设计上的不足目前还没有配的既小巧又足够强大的闪光灯	negative
软件不太好使最大的问题是为小体积而小体积	positive
艺术效果拍摄时拖尾严重最不满意的也就对焦系统了	negative
我没有再去买一个闪光灯的动力	neutral
穷人买不起原厂啊	neutral
电池不够用色彩感觉没有原来的容易调整	positive
没有任何提示和显示画质没有什么出彩的地方	negative
这头全开光圈的情况下在白天一般都能达到安全快门以上	neutral
同样用测试对焦高速卡帮助不大	negative
机身轻小后的缺陷装个都觉得头重脚轻图像很硬	positive
到目前为止小心肝还在扑通扑通乱跳	neutral
大家买备机的时候也考虑一下上面的几点吧	neutral
有点大	neutral
虽不假	neutral
格式连拍坑爹风景摄影表现一般	positive
因为一直是室内拍摄	neutral
防尘不好但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小	positive
用奶昔拍了几十张人像照	neutral
高感有说不如的镜头突出很多	negative
对强光源的处理不好但我宁可这样也不要糟糕的做工	negative
当然	neutral
首先测试的就是高感	positive
但可供选择的只有	neutral
这点我也想吐槽下	neutral
电池不够用也有紫边	negative
是难得一见的诚意之作	neutral
去年开始又用上和	neutral
只是相对	neutral
主要是最小光圈只到	negative
没有功能基本没用	negative
价格对我来说也贵了色彩感觉没有原来的容易调整	negative
问题是体积也没见小啊整体感觉就是一入门机的样子	positive
不过奥巴也非常快了	neutral
暗部对焦拉风箱对焦慢	negative
而做的机器每个特点都不一样	neutral
先这些	neutral
的感光度在的时候也只能说勉强凑合看其次是那个主拨盘	negative
机内软件可能有问题没有	positive
完全个人感受	neutral
因为经常看到有人说的声音一塌糊涂所以设计理念上不高明	negative
而且可以避免外界光线干扰观察取景器	neutral
内置外置扩展	neutral
只是控制和手感恐怕没有这么舒服现在这个样子怎么看怎么像镜头长倒过来似的	negative
旁边是一个大写的	neutral
以前很多人都说的机身差	negative
此头焦外绿边十分严重特别是电池舱盖	positive
最烦人的是不能全时手动我发现的色彩非常干	negative
虽口水红圈的色彩	neutral
拇指手柄	neutral
其次是便携	positive
伸出来的突兀的相对巨大的镜头	neutral
长焦端没有防震肤色偏金黄色	positive
基本没用做工一般	negative
理由是太小了	neutral
的高感成像质量让我惊叹	positive
这头的对焦环单点对焦试了几张	positive
不像原来那样生涩	neutral
可我对它的机身感觉确实如此	neutral
目前价位还是高于的	negative
不过视频剪辑我是小白	neutral
算是分水岭	neutral
由于连拍性能的关系	neutral
似乎码率不够微距自动对焦较慢	positive
单点对焦试了几张格式连拍坑爹	positive
外盖分成了三部分但在自动对焦操控感受上还存在一定差距	positive
因此是有功能	neutral
我常用到的就是回看图片时候的缩放操作不一样了	neutral
还是一样要用转调完后才能放心出片的	neutral
密封不好等几个小按钮的感觉也是如此	negative
再拍不出好片就怪天气	neutral
星期六日玩耍了两天	neutral
不失为一款实用且轻巧的全画副单反选择	neutral
这是台好机器	neutral
的工业设计真是倒退了三十年快门触感变深	negative
稳定性照电子快门线和遥控器差的多对焦点的选择也略蛋疼	negative
有人吐槽对焦没有用这套点系统	neutral
四没有防抖外接闪光灯真丑	negative
新一代暗处色彩丢失可能是因为噪音太大导致严重降噪抹除了颜色让那些用的女士双臂平伸端着手感很差的克重物显得那么滑稽可笑	positive
比如白平衡没有显示快门声音真心不好听	negative
第一张是曝光正常的话	neutral
另外高感也差很多机内软件可能有问题	positive
现在的清晰度很好	positive
以前基本不会超过	neutral
这大可不必	neutral
试过边缘对焦	negative
给他更好的机器只会让他的创作更加得心应手	neutral
另外高感也差很多外盖分成了三部分	negative
档案算蛮小的自动白平衡在某些特定场合容易出錯	negative
对焦速度很快	positive
成像很好	positive
还没有别人的倍拉得近	neutral
配长焦机身偏小便宜好用的自动镜头少	positive
的确难听	neutral
还很顺眼	neutral
总体上给我的感觉这套系统对焦性能和差不多但是外挂电源毕竟影会影响的便携性	positive
无货	neutral
屏幕太破了	negative
更重要是写速度而不是读速度	neutral
主要是最小光圈只到对焦速度还稍微跟不上	positive
小巧极大地提升了拍摄的欲望	neutral
连续自动对焦的速度是最差的	negative
但是感觉跟还是有一定差距的当然这也许是白平衡的问题	negative
刚好换门可以弄个焦段差不多的	neutral
暂时还不够丰富的系统风景摄影表现一般	positive
初步感受机器很沉	neutral
你看的片子比哪种相机的色彩都紫	neutral
最便宜的/摄像机	neutral
对卡并非实时存储	neutral
如果你想使用快门线也行	neutral
然后	neutral
操作够复杂的档有问题	positive
直出	neutral
的模式转盘顶部增加了锁定键	positive
左上角的拨盘看上去仍然很幼稚快门延时稍长	positive
机背液晶屏竟然是塑料的你总感觉的倍变焦是骗人的	positive
所以一直在寻求一台相对轻巧图像质量又好可以换镜头的单反	neutral
感觉在变焦的时候有些迟滞感觉手柄还是略小	negative
不过手感一般	negative
感觉在变焦的时候有些迟滞而远角端只有	negative
松下出来的图片的比对度的确有点不够新一代暗处色彩丢失可能是因为噪音太大导致严重降噪抹除了颜色	positive
调的真好	neutral
不满的是反映速度松下出来的图片的比对度的确有点不够	negative
当然它的缺点能改善就更完美了	neutral
很多人认为照片容量大	neutral
感觉拍出来还是不错的	neutral
如果调成格式	neutral
色彩浓郁透亮且锐度较高	positive
同样用角架	neutral
系列的画质一般	negative
你做的通用一下会死啊	neutral
画质方面	neutral
对焦框自由移动	positive
其余的对焦点闪光灯就算了	negative
档有问题暗部对焦拉风箱	negative
得说二者相比起来	neutral
有人说能拍张相片	neutral
感觉中心对焦的范围比小	neutral
储存过程中还可以拍摄	neutral
按键按起来啪啪响但在大光圈长焦和闪光灯上还有不足	negative
感觉手柄还是略小觉得电池续航能力很一般	positive
很火	neutral
许多功能设置有可能被试用者按自己的个人习惯改变	neutral
的电子技术确实不高不深主要是高清视频录制清晰度差	negative
但又感觉机器太大太重了	neutral
快门声在体验时最想让我吐槽的就是它的快门声了这只镜头配合起来就有点问题	negative
让那些用的女士双臂平伸端着手感很差的克重物显得那么滑稽可笑但在自动对焦操控感受上还存在一定差距	positive
有点感受	neutral
高感就不要太奢求了自动对焦较慢	negative
这个头的对焦性能并不好就是色彩比较淡	positive
强大的对焦系统	positive
晚上拍照比较吃力似乎码率不够	negative
重量体积不是负担	positive
比如白平衡没有显示价格也最高	negative
你借一个万像素在同一场景和对照	neutral
顺便说一下高速卡	neutral
额外多问各位机友一句	neutral
要充电	neutral
虽然在强度上有些降低首先是那个和啤酒瓶子盖一样的模式转盘	negative
分别是每秒张和张	neutral
粗略的测试了一下中心对焦区域的相位对焦点	neutral
对焦框不会显示存取慢	negative
你总感觉的倍变焦是骗人的手感操控性能画质已然全面落后	negative
这个很多人都在说	neutral
防抖的防抖效果好略于防抖	neutral
就是快门声音不怎么样当然这也许是白平衡的问题	positive
周围对焦点日光下对焦无压力	positive
但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小除了价格比较高一些	positive
也有官方的改装服务	neutral
而是采用液晶显示	neutral
的非常差对焦真的没什么优势	positive
朋友给我了一个十分具有说服力的回答	neutral
档的超级功能木有了说明他的电子设计和技术较低端	positive
致命的阳光下看不清屏幕手感操控性能画质已然全面落后	negative
没有画质没有什么出彩的地方	positive
不知为何	neutral
体积和重量都达到了不错的平衡	positive
的对焦和储存速度可以看一下这个视频:///	neutral
长焦端光圈显得小了些拍出人物的皮肤较硬	negative
人家是手机啊	neutral
如果能忍受它缓慢的存储速度的话现在多出来的锁定键做的太	positive
微缩版	neutral
明显听到超深波对焦的声音更大	neutral
镜头上还有一个环	neutral
前几天入得	neutral
画质偏软手感操控性能画质已然全面落后	positive
体积	positive
对孩子脸摸下屏幕	neutral
买的	neutral
拿着来问我自动挡在哪里	neutral
但我没有在包装里面找到高清视频线比偏红偏假的色彩	positive
个人觉得还真是非常好用的	neutral
左上角的拨盘看上去仍然很幼稚因为经常看到有人说的声音一塌糊涂	positive
色彩浓郁透亮且锐度较高	positive
暗部对焦拉风箱我最不满意的是那个删除键	positive
动态对焦连续自动对焦提升明显	positive
给人一种抵挡机的感觉就是这样	neutral
当遇到合适的对象却遗憾的摸摸口袋没有拿出手的拍照设备	neutral
的噪点差不多	neutral
明显敌不过就是不太方便	positive
四没有防抖	negative
锐度偏低但我却很喜欢真实的色彩	negative
可能是用了的系统	neutral
因为《反转模式是增加色彩饱和度	neutral
存储速度慢	negative
没有就是色彩比较淡	negative
没有机内除尘是个问题主要是高清视频录制清晰度差	positive
就是色彩比较淡目前还没有配的既小巧又足够强大的闪光灯	negative
期间一直在用单位的机器到去年的	neutral
另一个是无穷远	neutral
对应近视眼和远视眼用户	neutral
在肩屏的信息显示量上也不够丰富色彩太假	negative
和防抖功能．	neutral
细节较多想问问为什么的照片这么小啊	negative
打开一张照片要秒	neutral
对焦的平衡点	neutral
比差一大截	neutral
拿在手里很有一种厚实感	neutral
手感操控性能画质已然全面落后电子取景器有时滞	positive
一切的性能都是从价位上直接反映出来的	neutral
记得年刚大一	neutral
数据线都不配	negative
但那对焦速度我是受够了	negative
只有从机顶看觉得造型怪异些镜头方面也有不足的地方	positive
没有确实有点影响出片率取景器切换时候会有遮挡	negative
你用左手的那个手指去操作都会觉得别扭	neutral
看着不容易懂	neutral
感觉在变焦的时候有些迟滞照远景效果比许多机子差	positive
手感操控性能画质已然全面落后我发现的色彩非常干	negative
室外拍孩子	neutral
的噪点属于比较大色斑	negative
像那样强调操控的机器	neutral
比国内便宜	neutral
松下的的触摸屏灵敏快速	positive
点的对焦着实很猛	positive
画质	neutral
/的快门大家都非常郁闷外接闪光灯真丑	negative
手感操控性能画质已然全面落后塑料前脸仍然没有升级成合金材料	negative
反转片效果我个人很喜欢	positive
说明他的电子设计和技术较低端拍出人物的皮肤较硬	negative
机内测光容易出错导致过曝	negative
感觉开关拧到距离过长机内软件可能有问题	negative
目前还没有配的既小巧又足够强大的闪光灯存储速度慢	negative
基本是毫无意义地增加了法兰距	neutral
而且使用速度狂慢我用的是苹果一体机	negative
不过手感一般电池不够用	negative
大部分都不清楚我用的快速对焦模式	neutral
的遮光罩为什么总是做的很松不满的是反映速度	negative
我比较注重复杂光线下人物肤色的色彩还原	neutral
实际使用	neutral
出掉已经是月了成都天气一直不太好这阳光机也暂时没用	neutral
下面还是把我买的心里独白写下吧	neutral
这是前一段时间很多帖子口水的地方	neutral
照上述条件开始选机	neutral
就下手	neutral
快门声在体验时最想让我吐槽的就是它的快门声了的噪点属于比较大色斑	positive
但是又一次失望了	neutral
色彩不偏差可能握持上不是太舒服	positive
外观质朴小巧	positive
至少不合适我	neutral
整体感觉就是一入门机的样子电池太渣	positive
而远角端只有拍的好像蒙了一层雾	negative
眼睛不用离开取景器能完成所有基本设置	neutral
随后依个人习惯把图像质量设置为	neutral
缺点	neutral
所以让人感觉塑料感稍重锐度偏低	positive
但是便携性较差就是成像似乎不像是微单的水平	negative
还有相机内的创意滤镜	positive
体积小只是开电池舱盖和卡舱盖的时候能明显感觉到塑料的做工	positive
是的首部机器	neutral
宽容力	neutral
不再玩任何其它品牌机子了	neutral
在无忌潜水很久	neutral
实际拍摄根本没意义	neutral
又借了朋友用了三天	neutral
这只镜头配合起来就有点问题手感操控性能画质已然全面落后	positive
紫边	neutral
而且使用速度狂慢我用的是苹果一体机现在的屏幕裸露在外	negative
貌似只有一个自定义键	neutral
没有这个头的对焦性能并不好	positive
最喜没要的发票居然也给开了机打的	neutral
机器很漂亮	neutral
玩了半年就出掉了主要是边缘成像太差色散严重还有就是确实存在严重的屏偏绿的问题	negative
拨轮和按钮的手感都好过小五	positive
变焦感觉有点慢哦最大的问题是为小体积而小体积	positive
全副镜头在上广角损失严重这头的对焦环	positive
而腾龙出片我个人感觉比较像一个数码记录图像对焦叽叽的叫声让你觉得随时要坏	positive
总有优缺点	neutral
结果对焦和色彩让人失望对焦叽叽的叫声让你觉得随时要坏	positive
色彩太假价格也最高	negative
镜头覆盖广	positive
手持拍摄的成功率很高	neutral
的各种连拍各种视频无压力	neutral
色彩太假键位设置不如全副方便	negative
奥巴的/镜头也是个大块头液晶屏无法关闭盲拍	positive
的电子技术确实不高不深但便携机在图像质量上总是稍欠缺一点还有不能换镜头局限了拍摄题材	negative
高感不好白平衡	positive
我对图像质量的要求颇高	neutral
塑料前脸仍然没有升级成合金材料电子取景器有时滞	positive
片子都不实	neutral
而远角端只有明显敌不过	negative
对焦速度慢这个完全不能和单反比啊感受在对焦的时候有些犹豫	negative
价钱不算低档有问题	negative
带	neutral
对焦烂也就算了就是格式照片有点偏大本人用寸笔记本	negative
色彩不正及过渡不好	negative
除了没有触摸屏以外但是屏幕实在不堪入目	negative
外观变丑了配长焦机身偏小	positive
就一姐夫机的大小图像很硬	positive
洞妖有两种防抖模式	neutral
第一	neutral
它的功能上的确有些不足的遮光罩为什么总是做的很松	negative
机械快门线的确蛋疼就是一台没有电话功能	negative
简单后期照片导出时还是很慢除了没有触摸屏以外	positive
的感光度在的时候也只能说勉强凑合看快门延时稍长	positive
也相应退出了市场	neutral
当然整机都是金属	neutral
对焦速度一般夜景手持真的很吃力	positive
但是外挂电源毕竟影会影响的便携性同样用测试对焦	positive
值吗	neutral
但是长焦是外变焦外观变丑了	negative
因此背景的虚化不足机内测光容易出错导致过曝	positive
测光等完全跟着追踪	neutral
洞妖不算很轻	neutral
尤其配合黑色版本更符合准专业用户通常的喜好	neutral
直出太差了	negative
色彩的话的工业设计真是倒退了三十年	negative
还需要时间来适应	neutral
有利于创作出更富视觉冲击效果的摄影作品	neutral
我在上也发现了这个功能	neutral
基本没用如果能忍受它缓慢的存储速度的话	negative
在菜单里关闭启动画面后	neutral
但是长焦是外变焦	negative
手感操控性能画质已然全面落后玩了半年就出掉了主要是边缘成像太差色散严重	negative
纸质说明书	neutral
我发现的色彩非常干对焦的速度上并不是很突出	positive
开机慢大概秒以上但驱动有点慢	negative
开机慢大概秒以上细节较多	positive
目前对的色彩还在摸索适应中	neutral
周末向杭州格力达俱乐部借了无敌小三使用	neutral
没有一级一级往上试	neutral
体积太大	negative
合眼缘	neutral
说明他的电子设计和技术较低端	negative
加上的一个延长罩更加长	neutral
想问问为什么的照片这么小啊像素密度太密了	negative
发现在这家伙优点很多的	neutral
但每过一段时间	neutral
反差较小时镜头还会拉风箱这个头的对焦性能并不好	negative
实拍几次下来	neutral
但是长焦是外变焦让那些用的女士双臂平伸端着手感很差的克重物显得那么滑稽可笑	negative
电子取景器有时滞还有就是确实存在严重的屏偏绿的问题	negative
电池续航能力一般	negative
真是台强制我不要乱按快门的好机器啊就一姐夫机的大小	positive
还走以后	neutral
你肯定会看到没有的恒定光圈这回事	neutral
但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小	negative
目前价位还是高于的就是色彩比较淡	negative
画面也惨不忍睹外接闪光灯真丑	positive
充电感觉不是很方便但那对焦速度我是受够了	negative
由于试用过程中很匆忙	neutral
关于	neutral
感觉高感效果和宽容度不亚于原来的	positive
功能等功能对于老鸟可能无视	positive
很容易虚化全幅和截幅的区别吧	positive
比如拍的红玫瑰	neutral
但是	neutral
进光量大	neutral
长焦端没有防震比偏红偏假的色彩	negative
比如白平衡没有显示配置一般	positive
细节较多电子取景器有时滞	positive
的感光度在的时候也只能说勉强凑合看所以让人感觉塑料感稍重	positive
仔细点说是和配合的体会	neutral
总觉得相机不给力	neutral
无论是拍鸟还是拍新闻都够用	neutral
犹豫中	neutral
手头的器材是	neutral
但是稍有不同	neutral
其实我觉得那个翻转屏挺好	positive
的对比对焦显然没有的相位对焦快不如做工好	positive
静音快门	neutral
可以选择全部对焦点显示或者只显示选择的对焦点	neutral
可能是口径太大的原因	neutral
成像没有系统测试过	neutral
随便拍的	neutral
是为了便于用家单手持机拍摄的	neutral
晚上拍照比较吃力因为之前的的画质堪称垃圾	negative
电池坚持时间久	positive
觉得不象原电．．．	neutral
虽然在强度上有些降低同样用测试对焦	negative
按键布局很紧凑	positive
机背液晶屏竟然是塑料的	negative
没有必要一步到位	neutral
个人觉得这个东东	neutral
表面上看拥有完全支持单反镜头的优势	positive
必须要的版本才能打开	neutral
家里十多部相机	neutral
同样快门速度有时在长焦段会有拉风箱现象	positive
放弃	neutral
和的高感成像质量相比较而言就有些惨了充电感觉不是很方便	positive
防尘不好	negative
也可以接受	neutral
很大机子的镜头盖的设计会在装上镜后	neutral
稍逊于单反的机械性能	negative
照片暂时没什么能拿得出手的就不上传了	neutral
就拿个的噱头来唬弄用户	neutral
和的高感成像质量相比较而言就有些惨了小黑虽然部分焦段锐度跟不上	positive
对自己好点吧	neutral
没有机内除尘是个问题不喜欢闪光灯的设计	positive
对焦的速度上并不是很突出真的就是系统慢了点	negative
这也是我出掉的其中一个原因	neutral
看着取景器里的对焦点从模糊清晰模糊清晰的过程的确有砸机冲动你总感觉的倍变焦是骗人的	positive
使用一块万像素英寸的液晶屏显示效果不错	positive
目测对焦速度慢于	negative
对焦速度慢四没有防抖	negative
作为参考	neutral
弱光下大光圈加上防抖	neutral
在此机上对焦迅速	positive
总的来说用来拍人像肤色怪怪的无摄像功能	positive
图象完全看不清楚边缘对焦还是比较容易拉风箱	positive
你说请把它配上一个Ⅱ镜头以美金的价格卖给我	neutral
不过感觉快门很涩其次是那个主拨盘	positive
说法相差实在太大	neutral
日本目前网购最低价在万日元约人民币	neutral
因为宝宝长大了	neutral
天体天象	neutral
开机速度跟普通单反差不多	positive
机械快门线的确蛋疼对焦点不行啊	positive
扔进去个也不算过分吧	neutral
很多人觉得造型很怪异机子太小太轻	positive
电池太渣光学取景器聊胜于无	negative
让那些用的女士双臂平伸端着手感很差的克重物显得那么滑稽可笑	negative
镜头部分颇有金属感	neutral
主要是因为色散控制不好的原因缺点是体积略大	negative
但色彩略差于就是色彩比较淡	positive
这机器的重量对我来说正好	positive
防尘不好色彩感觉没有原来的容易调整	negative
但是便携性较差有时候界面操作都会有些许延时现象	positive
机身按钮与功能选单	positive
对焦速度偏慢	negative
发挥了全副应有的水平	neutral
我觉得的机身手感很不理想	negative
然后官网说长焦端最大光圈可以	neutral
以前很多人都说的机身差附带的解软件解出来的效果非常差	negative
缺点如下	neutral
习惯就好了	neutral
菜单里东西蛮多	neutral
一直嫌那两台单反有点笨重	neutral
色彩不够鲜艳	negative
各种详细的性能测评在媒体上已经发表了许多	neutral
的我一会不敢超过在暗处对焦边缘对焦点无力	negative
电池使用寿命短不过该机器已经设计了外接电源的线孔	negative
档案算蛮小的	negative
但驱动有点慢存取慢	positive
拍出来白蒙蒙的的工业设计到底怎么了	negative
不为了糖水	neutral
电子取景器对于	neutral
但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小就只是怪的色彩	negative
底部材料没有改进和的比似乎就少了点相位对焦点	positive
手感更好	positive
尽管的标配没有手柄	neutral
闪光灯就算了直接出片机内处理锐度过头了点	positive
高感就不要太奢求了	negative
情有经验的前辈给点快速设置的建议	neutral
由于我常用长焦拍摄	neutral
毕竟加了转接环还是可以用我的头	neutral
电池存储卡都和完全通用	neutral
才能搞明白里面的东西是怎么回事	neutral
借着新购的契机	neutral
对焦精度太差了	negative
套头用的是原厂	neutral
画质提升多少这里就不细说了	neutral
不如做工好对焦慢	negative
我是个容易满足的人	neutral
在试用后也只能俯首称臣	neutral
所以就看您自己的情况而定了	neutral
由于该机采用了全工程塑料	neutral
我个人认为所有的副的相机的画质都够用	positive
影响如此之深	neutral
感觉机身的自动白平衡有点问题导致无法进行连续拍摄	negative
没一个便宜的	neutral
机壳的主体应该是金属壳	neutral
拍摄时	neutral
就是时的图像质量也可以接受	neutral
我等	neutral
开机慢大概秒以上体积太大	negative
问题是体积也没见小啊但我没有在包装里面找到高清视频线	negative
欢迎补充	neutral
调整到完全是可以用的	neutral
比偏红偏假的色彩价格也最高	positive
软件不太好使手感操控性能画质已然全面落后	negative
这景深伤不起	negative
对焦行程做得那么长不过与相比的机身确实短了一些从左到右方向	negative
不用挣扎	neutral
感觉开关拧到距离过长	negative
这个非常有意思	neutral
不是让你去装的	neutral
结果对焦和色彩让人失望那感觉和效果是脚底抹油也赶不上	negative
所有图都是最大光圈拍的	neutral
很好的防止了因误拨模式转盘导致的拍摄失误	neutral
不过对大光比的控制方面明显不如全副没什么用处	positive
这点仅供大家参考哦	neutral
果断出手	neutral
没有内闪锐度偏低	negative
这电池的型号应该也是一样的	neutral
对焦行程做得那么长	negative
是专业性更强的机子	positive
使用频率来说	neutral
画面颗粒感较强但我没有在包装里面找到高清视频线	positive
但是后来觉得操控上和手感上会威武很多	positive
但是我错了	neutral
感觉开关拧到距离过长手动对焦更慢一些	positive
想到哪写到哪	neutral
同时拿出说明书阅读	neutral
前者可以无视对焦直接按下快门	neutral
对焦慢就是色彩比较淡	negative
也没专业机身塑料感强轻	negative
且目前售价也略高为什么照片这么小	negative
虽然该价格高达多	neutral
不是太暗德地方	neutral
然后就是用手动功能要大	neutral
这景深伤不起机子太小太轻	negative
那还有作为选择	neutral
首先是那个和啤酒瓶子盖一样的模式转盘发现对焦速度有所降低	positive
不说了．	neutral
发现对焦速度有所降低重量重不少	positive
而它极轻的快门声音和微小机震几乎是我所使用过的数码单反中控制的最好的	positive
有什么第三方的大容量电池吗	neutral
害我去买了个吸铁石目镜	neutral
优势明显	neutral
复杂光源下肤色表现非常好	positive
未税	neutral
可能小白会更好	neutral
最后	neutral
旋转环非常方便的在等焦段变换	positive
所以设计理念上不高明其实松下除了画质外	positive
如果录视频用的多又不想关闭声音镜头是一定要入的了就为了的对焦安静	neutral
能拍多少张	neutral
很舒服	neutral
白平衡二是体型偏大了	positive
今天下午去买了一个	neutral
要是能用那片无低通就无敌了	neutral
的对比对焦显然没有的相位对焦快	negative
上市的时候	neutral
手动对焦有但是长焦是外变焦	negative
机身缝隙稍大档的超级功能木有了	positive
它的功能上的确有些不足	negative
比方便	neutral
档有问题个人觉得做工不如	negative
红圈感觉就做的还可以	neutral
只是属于最严重的一类手动对焦更慢一些	positive
两种菜单方式各有各的好处	neutral
光变	neutral
提到	neutral
按第一次出现直方图	neutral
夏天似乎还掉黑色	neutral
拍半身人像特写都很好	positive
用它拍了不少汉口旧租界里的优秀建筑和街道	neutral
对焦的速度上并不是很突出底感差	negative
精度有提升	positive
但是会显得厚了一些．．．	neutral
二是体型偏大了	negative
玩得很开心	neutral
看来确不属天朝的砖家大湿流个	neutral
但是熟悉后	neutral
机背液晶屏竟然是塑料的配置一般	negative
锐度偏低数据线都不配	negative
握在手里比手感要好	positive
而且还有正规的发票	neutral
色彩不正及过渡不好的工业设计真是倒退了三十年	negative
也胜出	neutral
缺点	neutral
你需要点一下快门才能消失	neutral
就是一台没有电话功能长焦端没有防震	negative
说说相对于的感受	neutral
既然和画质差不多	neutral
像内置的	neutral
夜景画质很一般就是成像似乎不像是微单的水平	positive
高感强大	positive
头和金圈都各有特点	neutral
也没专业正面太滑	positive
的最高画质也才一张参数上是这么写着的	neutral
对焦有进步	positive
咋一看很好	neutral
中央五个对焦点很暴力对于有人说它是塑料机身	negative
能撑的起我倍光变/秒的防抖能力	neutral
主要是没用过这种产品	neutral
镜头是不错	positive
觉得太麻烦	neutral
非常重要的特性	neutral
这头的对焦环感受在对焦的时候有些犹豫	positive
没有所说工程塑料的玩具感那么夸张	neutral
也是如此的设计电子取景器有时滞	negative
防尘不好其余的对焦点	negative
片子发暗种种现象手柄突出部分和镜头对焦环之间的空间挤了点	positive
拍的好像蒙了一层雾松下出来的图片的比对度的确有点不够	negative
只是开电池舱盖和卡舱盖的时候能明显感觉到塑料的做工感觉机身的自动白平衡有点问题	negative
小黑虽然部分焦段锐度跟不上如果能有对焦微调	negative
边缘对焦还是比较容易拉风箱充电感觉不是很方便	positive
光圈优先模式	neutral
对焦速度问题	positive
虽说不太认同感动家的机身设计	negative
二成像质量	neutral
系列的画质一般档的超级功能木有了	positive
对焦点选择不是很方便而且使用速度狂慢我用的是苹果一体机	positive
速度就慢下来	neutral
为什么	neutral
按键按起来啪啪响图像很硬	positive
对也是刮目相看了	neutral
但色彩略差于取景器切换时候会有遮挡	negative
真是台强制我不要乱按快门的好机器啊白平衡只能菜单调	negative
旧机手握时稍显单薄	neutral
闪光灯没有闪光灯外盖分成了三部分	negative
已经推出快个月	neutral
用光需要比以前更加注意	neutral
白天晚上预先调整下白平衡	neutral
没有	negative
同时排满过一次	neutral
值得一说的就是色温的设定	positive
小了一些	neutral
画质偏软我发现的色彩非常干	negative
买前和比较了一下	neutral
我几乎把机器玩了个够	neutral
/的快门大家都非常郁闷没有多次曝光功能	negative
主要是最小光圈只到和的高感成像质量相比较而言就有些惨了	negative
喜欢的外观	positive
/的快门大家都非常郁闷微距自动对焦较慢	negative
对焦的确非常非常慢高感有说不如的	positive
的确的背景虚化不太好做对焦叽叽的叫声让你觉得随时要坏	positive
高感有说不如的对焦行程做得那么长	negative
在菜单里关掉快门音量以后	neutral
密封不好等色彩不偏差	positive
我手持拍摄的出片率较低不过与相比的机身确实短了一些从左到右方向	negative
但感动的镜头的确是一流的外观	positive
有的几率在电脑上打开相机后	neutral
刚到手一试真的让我有种想吐的感觉	neutral
注意	neutral
四没有防抖出来的片子更糟	negative
毕竟比便宜了元	neutral
握感很好	neutral
肤色偏金黄色这景深伤不起	negative
操控缩水光线暗的时候对焦拉风箱	negative
不过老机器也够	neutral
手动对焦时	neutral
我觉得还是很用有的	neutral
对于不用闪光灯的我	neutral
都需要手动去调节合适当时场景的白平衡	neutral
万素虽然过时	neutral
但我没有在包装里面找到高清视频线出来的片子更糟	positive
头几年一直在用和	neutral
手动支持	neutral
就说下设计上的不足密封不好等	positive
的遮光罩为什么总是做的很松就是紫边太严重	negative
比如白平衡没有显示外观既没有时尚	positive
说法相差奇大	neutral
几个机器都能满足工作需要	neutral
它的功能上的确有些不足光学取景器聊胜于无	negative
这个头的对焦性能并不好另外高感也差很多	negative
以后用不用单说	neutral
比想象中大很多	neutral
的工业设计到底怎么了此头焦外绿边十分严重	positive
手感操控性能画质已然全面落后小黑虽然部分焦段锐度跟不上	negative
小五就成打酱油的但在自动对焦操控感受上还存在一定差距	positive
这对焦屏绝对给人耳目一新的感觉	positive
刚拿上手还没试过	neutral
景深预览键没有对焦慢	negative
接图的效果也不如手柄也太小	negative
对于	neutral
玩了半年就出掉了主要是边缘成像太差色散严重高感不好	negative
而几乎瞬间就牢牢抓住了主体	neutral
只是属于最严重的一类说明他的电子设计和技术较低端	negative
这个头的对焦性能并不好它的功能上的确有些不足	negative
广角端边缘锐度不行压缩比有些点	positive
但是强劲的机能会弥补画质的不足导致无法进行连续拍摄	positive
但对我们使用者有二个概念应该是清楚的	neutral
奥林巴斯买来已有二周了	neutral
操作系统反映速度很慢体积太大	positive
个人觉得高感最多强一档	neutral
操作够复杂的	negative
默认是	positive
如果不是要求零噪点	neutral
忍受不了最近低价的诱惑	neutral
像素密度太密了	negative
